truy_van	luot_nhap	hien_thi	ctr	vi_tri	tu_khoa_chuan_hoa	nhom_dich_vu	tieu_chuan_chung_nhan	nganh_chu_de	y_dinh_chinh	giai_doan_pheu	loai_trang	cum_chu_de	co_hoi_seo	uu_tien_seo	ghi_chu
lean six sigma là gì	7	453	1.55%	4.05	lean six sigma là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
ecovadis	7	446	1.57%	5.14	ecovadis	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
ví dụ về mục tiêu smart	7	169	4.14%	12.02	ví dụ về mục tiêu smart	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
mẫu coa	7	114	6.14%	2.24	mẫu coa	Khác	Khác	Đa ngành	Thông tin	TOFU	Tài nguyên/Download	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Có thể tạo lead magnet hoặc tài nguyên tải về
tình hình vệ sinh an toàn thực phẩm hiện nay	7	89	7.87%	2.08	tình hình vệ sinh an toàn thực phẩm hiện nay	Khác	Khác	Thực phẩm	Thông tin	TOFU	Bài blog/Pillar	Khác	Long-tail/ưu tiên sau	Thấp	Cần kiểm tra SERP trước khi quyết định page
tín chỉ carbon rừng	7	72	9.72%	2.01	tín chỉ carbon rừng	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Long-tail/ưu tiên sau	Thấp	Cần kiểm tra SERP trước khi quyết định page
thực trạng an toàn thực phẩm hiện nay	7	64	10.94%	1.86	thực trạng an toàn thực phẩm hiện nay	Khác	Khác	Thực phẩm	Thông tin	TOFU	Bài blog/Pillar	Khác	Long-tail/ưu tiên sau	Thấp	Cần kiểm tra SERP trước khi quyết định page
công cụ quản lý chất lượng	7	48	14.58%	1.35	công cụ quản lý chất lượng	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Long-tail/ưu tiên sau	Thấp	Cần kiểm tra SERP trước khi quyết định page
iso 31000 2018 pdf	7	44	15.91%	5.05	iso 31000 2018 pdf	Chứng nhận ISO	Khác	Đa ngành	Thông tin	TOFU	Tài nguyên/Download	Chứng nhận ISO	Long-tail/ưu tiên sau	Thấp	Có thể tạo lead magnet hoặc tài nguyên tải về
mô hình smart ví dụ	7	35	0.2	3.08	mô hình smart ví dụ	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Long-tail/ưu tiên sau	Thấp	Cần kiểm tra SERP trước khi quyết định page
kanban board	6	880	0.68%	4.05	kanban board	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
kaizen nghĩa là gì	6	800	0.75%	4.96	kaizen nghĩa là gì	Công cụ cải tiến/quản lý	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Công cụ cải tiến/quản lý	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
qa là vị trí gì	6	630	0.95%	4.0	qa là vị trí gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
qa qc	6	581	1.03%	4.38	qa qc	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
iso 13485 là gì	6	578	1.04%	4.06	iso 13485 là gì	Chứng nhận ISO	ISO 13485	Thiết bị y tế	Thông tin	TOFU	Bài blog/Pillar	ISO 13485	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
duns number là gì	6	457	1.31%	3.88	duns number là gì	Chứng nhận xuất khẩu	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Chứng nhận xuất khẩu	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
6 sigma	6	332	1.81%	7.28	6 sigma	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
ecovadis là gì	6	310	1.94%	6.13	ecovadis là gì	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Keyword thông tin - dùng internal link về trang dịch vụ
gfsi	6	263	2.28%	10.18	gfsi	An toàn thực phẩm	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	An toàn thực phẩm	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
7 lãng phí trong sản xuất	6	260	2.31%	5.38	7 lãng phí trong sản xuất	Khác	Khác	Đa ngành	Thông tin	TOFU	Bài blog/Pillar	Khác	Có nhu cầu tìm kiếm - cần rà intent	Thấp	Cần kiểm tra SERP trước khi quyết định page
